GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE,SM_COST,TRAIN_COST,CAR_COST
3,1,1,922,3,1,3,2,1,3,1,3,0,1,22,1,1,1,1.5,176,1.2,0.5,210,0.2,0,1.7,123,2,2.1,1.76,1.23
3,1,1,797,3,1,1,2,1,4,1,3,0,25,1,1,1,1,1.97,94,1.2,0.6,137,0.1,0,2.0,104,2,1.37,0.94,1.04
2,0,1,49,1,0,6,3,1,3,1,3,1,1,2,1,1,1,1.33,2600,0.3,0.62,3120,0.1,0,0.75,40,2,0.0,0.0,0.4
2,0,1,406,5,0,6,1,1,3,1,2,1,1,2,1,1,1,1.09,3120,0.3,0.58,4160,0.2,1,0.8,65,2,0.0,0.0,0.65
2,0,1,342,3,1,1,1,0,3,0,3,0,17,2,1,1,1,2.37,106,1.2,0.82,112,0.3,1,1.4,85,2,1.12,1.06,0.85
3,1,1,801,3,1,1,3,0,3,1,3,0,1,2,1,1,1,1.06,60,0.6,0.34,74,0.1,0,0.72,65,2,0.74,0.6,0.65
3,1,1,1136,4,1,1,1,1,4,1,2,0,1,22,1,1,1,1.82,108,1.2,0.74,122,0.2,0,2.08,95,2,1.22,1.08,0.95
3,1,1,1174,4,1,3,1,1,5,1,2,0,25,18,1,1,1,3.02,229,1.2,1.65,310,0.1,0,2.5,124,3,3.1,2.29,1.24
3,1,1,1065,4,0,3,1,1,2,0,2,0,25,10,1,1,1,1.15,56,0.3,0.78,70,0.2,0,1.04,55,3,0.7,0.56,0.55
3,1,1,507,1,1,3,2,1,3,1,3,0,25,10,1,1,1,1.13,100,0.6,1.11,130,0.3,0,0.72,78,3,1.3,1.0,0.78
2,0,1,62,1,1,1,1,1,2,0,2,0,2,17,1,1,1,1.86,81,0.3,1.23,84,0.1,0,2.1,88,2,0.84,0.81,0.88
3,1,1,648,3,0,3,2,1,4,1,3,0,2,1,1,1,1,0.96,68,0.3,0.55,83,0.3,0,1.1,75,3,0.83,0.68,0.75
3,1,1,551,3,0,1,1,1,2,1,2,0,2,17,1,1,1,2.12,50,0.3,1.28,50,0.3,0,0.96,78,3,0.5,0.5,0.78
2,0,1,356,3,1,1,1,1,5,1,4,0,1,2,1,1,1,1.16,65,0.3,0.58,76,0.3,1,1.17,44,1,0.76,0.65,0.44
2,0,1,205,2,1,6,2,1,2,1,3,1,1,17,1,1,1,1.02,3780,0.6,0.35,5040,0.2,0,0.6,39,2,0.0,0.0,0.39
3,1,1,1094,4,0,3,1,1,3,1,3,0,1,23,1,1,1,3.87,133,0.6,2.86,156,0.3,0,2.08,84,3,1.56,1.33,0.84
3,1,1,660,3,1,1,0,0,3,1,0,0,22,2,1,1,1,0.62,76,1.2,0.36,88,0.1,0,1.1,64,2,0.88,0.76,0.64
3,1,1,943,4,0,1,1,0,2,0,2,0,9,2,1,1,1,1.04,50,1.2,0.63,62,0.1,0,0.8,50,2,0.62,0.5,0.5
2,0,1,391,3,1,8,1,0,4,0,2,0,25,22,1,1,1,1.45,196,0.3,1.23,261,0.2,1,0.9,65,3,2.61,1.96,0.65
